"ID番号","_02"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:29:20"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",232.54
"総合COP 速度（cm/秒）", 72.67
"総合COP 矩形面積（c ㎡）",5054.11
"総合COP 左右幅（cm）", 22.89
"総合COP 前後幅（cm）",220.80
"総合COP Y 方向軌跡長（cm）", 65.67
"総合COP Y 方向単位軌跡長（cm/秒）", 20.52
"総合COP X 方向軌跡長（cm）",220.82
"総合COP X 方向単位軌跡長（cm/秒）", 69.01
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  2.99,237.86, 46.13,  8.06,  8.00,  1.00
  3.00,238.00, 46.27, 19.80, 14.00, 14.00
  3.01,238.06, 46.37, 11.66,  6.00, 10.00
  3.02,238.14, 46.41,  8.94,  8.00,  4.00
  3.03,238.13, 46.34,  7.07,  1.00,  7.00
  3.04,238.18, 46.45, 12.08,  5.00, 11.00
  3.05,238.25, 46.49,  8.06,  7.00,  4.00
  3.06,238.30, 46.54,  7.07,  5.00,  5.00
  3.07,238.39, 46.56,  9.22,  9.00,  2.00
  3.08,238.44, 46.66, 11.18,  5.00, 10.00
  3.09,238.48, 46.67,  4.12,  4.00,  1.00
  3.10,238.49, 46.72,  5.10,  1.00,  5.00
  3.11,238.69, 46.82, 22.36, 20.00, 10.00
  3.12,238.69, 46.88,  6.00,  0.00,  6.00
  3.13,238.70, 47.00, 12.04,  1.00, 12.00
  3.14,238.78, 46.97,  8.54,  8.00,  3.00
  3.15,238.87, 47.05, 12.04,  9.00,  8.00
  3.16,238.87, 47.08,  3.00,  0.00,  3.00
  3.17,239.00, 47.12, 13.60, 13.00,  4.00
  3.18,239.00, 47.13,  1.00,  0.00,  1.00
  3.19,239.00, 47.47, 34.00,  0.00, 34.00
  3.20,239.00, 47.49,  2.00,  0.00,  2.00
  3.21,"-.--","-.--","-.--","-.--","-.--"
  3.22,"-.--","-.--","-.--","-.--","-.--"
  3.23,"-.--","-.--","-.--","-.--","-.--"
